Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
7.611404211689111,000200Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,125.8,80.39,-192,1200,none,A7,35.976966,-79.98491,9,75,1.431,2,1,10,2,3,perhour,2,2,0,0,[],[],350492,0.2,-17.0
3.7905841620028795,000200Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,36975,38900,526.5,57.09,,7215,none,A3,36.046003,-79.982047,8,186,0.243,2,1,10,1,3,perhour,2,2,0,0,[],[],59929568,0.2,-14.5
3.9317872205715276,000200Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,392.9,208.59,0,3447,none,A3,36.039825,-79.97509,8,186,0.17,2,1,10,2,3,perhour,2,2,0,0,[],[],35411199,0.0,-13.1
7.509735691952099,000205Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1375,124.8,80.31,-128,1200,none,A7,35.977615,-79.980354,9,75,0.033,2,1,10,2,3,perhour,2,2,0,0,[],[],350513,0.0,-15.8
4.46685475522245,000205Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,394.0,207.35,0,3447,none,A3,36.031944,-79.980235,8,186,0.392,2,1,10,2,3,perhour,2,2,0,0,[],[],35411249,0.0,-15.6
3.1264199928181373,000205Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.3,57.15,,7215,none,A3,36.052613,-79.969424,8,186,0.302,2,1,10,1,3,perhour,2,2,0,0,[],[],59929617,0.0,-18.3
5.03427416110476,000210Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,394.0,206.37,0,3447,none,A3,36.023483,-79.985447,8,186,0.11,2,1,10,2,3,perhour,2,2,0,0,[],[],35411297,0.1,-11.4
7.443310441528912,000210Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1375,125.8,80.39,-128,1200,none,A7,35.978037,-79.977138,9,75,0.461,2,1,10,2,3,perhour,2,2,0,0,[],[],350536,0.3,-17.1
2.511140577005263,000210Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.3,57.15,,7215,none,A3,36.059097,-79.957066,8,186,0.404,2,1,10,1,3,perhour,2,2,0,0,[],[],59929666,0.0,-11.7
5.5709622973504445,000215Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,395.5,204.82,64,3447,none,A3,36.015381,-79.990139,8,186,0.225,2,1,10,2,3,perhour,2,2,0,0,[],[],35411346,0.0,-11.2
7.371092099045011,000215Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1375,125.6,80.84,64,1200,none,A7,35.978531,-79.973545,9,75,0.343,2,1,10,2,3,perhour,2,2,0,0,[],[],350558,0.0,-17.4
1.9661147105701011,000215Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38950,527.3,57.15,,7215,none,A3,36.065555,-79.944705,8,186,0.53,2,1,10,1,3,perhour,2,2,0,0,[],[],59929717,0.1,-14.8
6.109552411379179,000220Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,396.3,203.65,0,3447,none,A3,36.007178,-79.994669,8,186,0.428,2,1,10,2,3,perhour,2,2,0,0,[],[],35411394,0.2,-15.2
7.305645357044202,000220Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,125.6,80.84,192,1200,none,A7,35.978989,-79.970055,9,75,0.349,2,1,10,2,3,perhour,2,2,0,0,[],[],350576,0.3,-18.3
1.5446754230821313,000220Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.3,57.15,,7215,none,A3,36.072445,-79.931556,8,186,0.363,2,1,10,1,3,perhour,2,2,0,0,[],[],59929760,0.2,-17.1
6.64695612165981,000225Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,397.2,202.5,0,3447,none,A3,35.998892,-79.998935,8,186,0.435,2,1,10,2,3,perhour,2,2,0,0,[],[],35411442,0.2,-11.5
7.246918279475113,000225Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,125.4,81.29,192,1200,none,A7,35.979401,-79.966621,9,75,0.459,2,1,10,2,3,perhour,2,2,0,0,[],[],350600,0.3,-17.5
1.437921791692668,000225Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,528.1,57.21,,7215,none,A3,36.079468,-79.918156,8,186,0.084,2,1,10,1,3,perhour,2,2,0,0,[],[],59929808,0.0,-14.5
7.243508714918892,000230Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,398.7,201.48,-64,3447,none,A3,35.989628,-80.003493,8,186,0.088,2,1,10,2,3,perhour,2,2,0,0,[],[],35411494,0.0,-13.4
7.184355582062703,000230Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1425,125.6,80.84,-192,1200,none,A7,35.979904,-79.962959,9,75,0.307,2,1,10,2,3,perhour,2,2,0,0,[],[],350625,0.3,-16.7
1.6853066780121393,000230Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.5,56.91,,7215,none,A3,36.085945,-79.905785,8,186,0.159,2,1,10,1,3,perhour,2,2,0,0,[],[],59929848,0.2,-18.6
9.708357763529987,000235Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,528.3,74.07,64,1770,none,A2,36.156509,-80.123806,8,186,0.282,2,1,9,1,3,perhour,2,2,0,0,[],[],24845913,0.0,-12.5
7.805314119896145,000235Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,398.3,201.35,0,3447,none,A3,35.980876,-80.007701,8,186,0.056,2,1,10,2,3,perhour,2,2,0,0,[],[],35411543,0.1,-10.6
7.128485311402207,000235Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1425,125.6,80.84,0,1200,none,A7,35.980364,-79.959314,9,75,0.184,2,1,10,2,3,perhour,2,2,0,0,[],[],350648,0.2,-18.4
2.1140535384515102,000235Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.0,55.83,,7215,none,A3,36.092183,-79.894273,8,186,0.522,2,1,10,1,3,perhour,2,2,0,0,[],[],59929890,0.3,-14.5
0.4712548011189142,000235Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326326,0.7,-22.1
9.137982546728692,000240Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,528.3,74.07,-64,1770,none,A2,36.15987,-80.109324,8,186,0.24,2,1,9,1,3,perhour,2,2,0,0,[],[],24845957,0.0,-7.7
8.312643603402515,000240Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,397.8,201.53,0,3447,none,A3,35.972992,-80.011539,8,186,0.352,2,1,10,2,3,perhour,2,2,0,0,[],[],35411588,0.1,-11.0
